"SEX","GEO","TIME","AGE","UNIT","ISCED11","Value"
"T","ES","2013","Y15-64","PC","ED3-8","54.4"
"T","ES","2013","Y15-64","PC","ED3_4","23.5"
"T","ES","2013","Y15-64","PC","ED5-8","30.9"
"T","ES","2014","Y15-64","PC","ED0-2","44.5"
"T","ES","2014","Y15-64","PC","ED3-8","55.5"
"T","ES","2014","Y15-64","PC","ED3_4","23.9"
"T","ES","2014","Y15-64","PC","ED5-8","31.7"
"T","ES","2015","Y15-64","PC","ED0-2","43.5"
"T","ES","2015","Y15-64","PC","ED3-8","56.5"
"T","ES","2015","Y15-64","PC","ED3_4","24.4"
"T","ES","2015","Y15-64","PC","ED5-8","32.1"
"T","FR","2003","Y15-64","PC","ED0-2","37.0"
"T","FR","2003","Y15-64","PC","ED3-8","63.0"
"T","FR","2003","Y15-64","PC","ED3_4","40.8"
"T","FR","2003","Y15-64","PC","ED5-8","22.2"
"T","FR","2004","Y15-64","PC","ED0-2","36.3"
