sectperf	unit	geo	time	values
GOV	MIO_PPS_KP05	BE	2015-01-01	620.947
GOV	MIO_PPS_KP05	BG	2015-01-01	167.737
GOV	MIO_PPS_KP05	CH	2015-01-01	87.986
GOV	MIO_PPS_KP05	CY	2015-01-01	10.917
GOV	MIO_PPS_KP05	CZ	2015-01-01	922.226
GOV	MIO_PPS_KP05	DE	2015-01-01	10950.001
GOV	MIO_PPS_KP05	DK	2015-01-01	109.148
GOV	MIO_PPS_KP05	EA19	2015-01-01	25252.487
GOV	MIO_PPS_KP05	EE	2015-01-01	35.229
GOV	MIO_PPS_KP05	EL	2015-01-01	497.36
GOV	MIO_PPS_KP05	ES	2015-01-01	2480.939
GOV	MIO_PPS_KP05	EU28	2015-01-01	31586.001
GOV	MIO_PPS_KP05	FI	2015-01-01	347.267
GOV	MIO_PPS_KP05	FR	2015-01-01	5099.075
GOV	MIO_PPS_KP05	HR	2015-01-01	121.022
GOV	MIO_PPS_KP05	HU	2015-01-01	290.456
GOV	MIO_PPS_KP05	IE	2015-01-01	105.138
GOV	MIO_PPS_KP05	IS	2015-01-01	11.516
GOV	MIO_PPS_KP05	IT	2015-01-01	2421.095
GOV	MIO_PPS_KP05	LT	2015-01-01	92.594
GOV	MIO_PPS_KP05	LU	2015-01-01	136.953
GOV	MIO_PPS_KP05	LV	2015-01-01	49.508
GOV	MIO_PPS_KP05	MT	2015-01-01	13.595
GOV	MIO_PPS_KP05	NL	2015-01-01	1400.012
GOV	MIO_PPS_KP05	NO	2015-01-01	619.802
GOV	MIO_PPS_KP05	PL	2015-01-01	1592.86
GOV	MIO_PPS_KP05	PT	2015-01-01	143.87
GOV	MIO_PPS_KP05	RO	2015-01-01	413.948
GOV	MIO_PPS_KP05	RU	2015-01-01	9211.223
GOV	MIO_PPS_KP05	SE	2015-01-01	349.196
GOV	MIO_PPS_KP05	SI	2015-01-01	133.006
GOV	MIO_PPS_KP05	SK	2015-01-01	348.886
